test_id,node,test_category,test_description,test,result,failure_reason
1,leaf1,NTP,Synchronised with NTP server,NTP,PASS,
2,leaf2,NTP,Synchronised with NTP server,NTP,PASS,
3,leaf3,NTP,Synchronised with NTP server,NTP,PASS,
4,leaf4,NTP,Synchronised with NTP server,NTP,PASS,
5,spine1,NTP,Synchronised with NTP server,NTP,PASS,
6,spine2,NTP,Synchronised with NTP server,NTP,PASS,
7,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2_Ethernet1,PASS,
8,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf2_Ethernet2,PASS,
9,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet2,PASS,
10,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet2,PASS,
11,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1_Eth1,PASS,
12,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1_Eth2,PASS,
13,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1_Ethernet1,PASS,
14,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf1_Ethernet2,PASS,
15,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet3,PASS,
16,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet3,PASS,
17,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1_Eth3,PASS,
18,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1_Eth4,PASS,
19,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4_Ethernet1,PASS,
20,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf4_Ethernet2,PASS,
21,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet4,PASS,
22,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet4,PASS,
23,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host2_Eth1,PASS,
24,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2_Eth2,PASS,
25,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3_Ethernet1,PASS,
26,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf3_Ethernet2,PASS,
